       X(m)            Y(m)              Y(m)         
   -1132915.0349    6092528.4892    1504632.9619
   -1132915.0536    6092528.4497    1504632.9645
   -1132915.0851    6092528.4253    1504632.9123
   -1132914.8604    6092529.5763    1504632.8971
   -1132914.8672    6092529.5899    1504632.8973
   -1132914.8728    6092529.5916    1504632.9008
   -1132914.8746    6092529.5840    1504632.8980
   -1132914.8863    6092529.5909    1504632.9034
   -1132914.8952    6092529.5976    1504632.8215
   -1132914.8797    6092529.5561    1504633.0972
   -1132914.8738    6092529.5646    1504633.0532
   -1132914.8569    6092529.5442    1504633.0631
   -1132914.8580    6092529.5643    1504633.0440
   -1132914.5539    6092528.7126    1504632.5194
   -1132914.5994    6092528.8472    1504632.5537
   -1132914.6179    6092528.8991    1504632.5594
   -1132914.6334    6092528.9257    1504632.5785
   -1132914.6840    6092529.0730    1504632.6283
   -1132914.7295    6092529.2049    1504632.6965
   -1132914.7322    6092529.2353    1504632.7123
   -1132914.7543    6092529.2610    1504632.7245
   -1132914.7914    6092529.3750    1504632.7934
   -1132914.7900    6092529.3687    1504632.7985
   -1132914.7685    6092529.3022    1504632.7655
   -1132914.7772    6092529.3390    1504632.7758
   -1132914.7907    6092529.3378    1504632.7757
   -1132914.7886    6092529.3614    1504632.7881
   -1132914.7905    6092529.3871    1504632.8043
   -1132914.7862    6092529.4003    1504632.8123
   -1132914.7807    6092529.4023    1504632.8239
   -1132914.7972    6092529.4239    1504632.8411
   -1132914.8034    6092529.4454    1504632.8680
   -1132914.8069    6092529.4697    1504632.8824
   -1132914.8121    6092529.5022    1504632.8976
   -1132914.8314    6092529.5621    1504632.9308
   -1132914.8608    6092529.6261    1504632.9630
   -1132914.8765    6092529.6450    1504632.9718
   -1132914.8738    6092529.6641    1504632.9826
   -1132914.8844    6092529.6707    1504632.9889
   -1132914.8868    6092529.7034    1504632.9970
   -1132914.8857    6092529.7121    1504632.9895
   -1132914.8739    6092529.6870    1504632.9814
   -1132914.8721    6092529.6864    1504632.9796
   -1132914.8760    6092529.7145    1504632.9862
   -1132914.8753    6092529.6956    1504633.0017
   -1132914.8859    6092529.7035    1504633.0189
   -1132914.8925    6092529.7156    1504633.0324
   -1132914.8978    6092529.7534    1504633.0483
   -1132914.8915    6092529.7509    1504633.0373
   -1132914.8935    6092529.7440    1504633.0351
   -1132914.8906    6092529.7234    1504633.0352
   -1132914.9004    6092529.7397    1504633.0514
   -1132914.9002    6092529.7688    1504633.0599
   -1132914.9028    6092529.7746    1504633.0701
   -1132914.8943    6092529.7297    1504633.0567
   -1132914.8951    6092529.7342    1504633.0588
   -1132914.9050    6092529.7583    1504633.0654
   -1132914.8968    6092529.7601    1504633.0810
   -1132914.8978    6092529.7658    1504633.0912
   -1132914.9027    6092529.7667    1504633.1052
   -1132914.8985    6092529.7749    1504633.1148
   -1132914.9050    6092529.7914    1504633.1180
   -1132914.9092    6092529.7924    1504633.1154
   -1132914.9111    6092529.7955    1504633.1090
   -1132914.9235    6092529.7972    1504633.1141
   -1132914.9135    6092529.7859    1504633.1019
   -1132914.9075    6092529.7623    1504633.0863
   -1132914.9016    6092529.7565    1504633.0948
   -1132914.9092    6092529.7739    1504633.1129
   -1132914.9033    6092529.7836    1504633.1185
   -1132914.9080    6092529.7811    1504633.1172
   -1132914.9168    6092529.7991    1504633.1127
   -1132914.9160    6092529.8168    1504633.1258
   -1132914.9130    6092529.8038    1504633.1228
   -1132914.9113    6092529.8287    1504633.1341
   -1132914.9175    6092529.8090    1504633.1369
   -1132914.9114    6092529.8081    1504633.1344
   -1132914.9105    6092529.8026    1504633.1218
   -1132914.9020    6092529.7840    1504633.1232
   -1132914.8950    6092529.7842    1504633.1254
   -1132914.9036    6092529.7892    1504633.1299
   -1132914.8992    6092529.8162    1504633.1358
   -1132914.8905    6092529.7815    1504633.1273
   -1132914.8950    6092529.7872    1504633.1371
   -1132914.9055    6092529.8178    1504633.1402
   -1132914.9014    6092529.8090    1504633.1343
   -1132914.8872    6092529.8101    1504633.1300
   -1132914.8917    6092529.7986    1504633.1310
   -1132914.8886    6092529.8011    1504633.1354
   -1132914.9068    6092529.8335    1504633.1091
   -1132914.9105    6092529.8369    1504633.1172
   -1132915.1760    6092530.0268    1504633.1884
   -1132915.2142    6092530.0941    1504633.1331
   -1132915.1042    6092529.8642    1504633.2662
   -1132915.1546    6092529.9513    1504633.2035
   -1132915.1448    6092529.9333    1504633.2053
   -1132915.1328    6092529.9052    1504633.2118
   -1132915.1317    6092529.9158    1504633.2097
   -1132915.1423    6092529.9245    1504633.2091
   -1132915.1390    6092529.9229    1504633.2030
   -1132915.1349    6092529.9117    1504633.2118
   -1132915.1459    6092529.9010    1504633.2096
   -1132915.1416    6092529.8965    1504633.2097
   -1132915.1453    6092529.8793    1504633.2186
   -1132915.1339    6092529.8625    1504633.2211
   -1132915.1332    6092529.8703    1504633.2255
   -1132915.1458    6092529.8926    1504633.2347
   -1132915.1477    6092529.8845    1504633.2297
   -1132915.1496    6092529.9037    1504633.2333
   -1132915.1402    6092529.8791    1504633.2331
   -1132915.1459    6092529.8955    1504633.2389
   -1132915.1488    6092529.9015    1504633.2346
   -1132915.1544    6092529.9100    1504633.2401
   -1132915.1481    6092529.8779    1504633.2360
   -1132915.1534    6092529.8678    1504633.2359
   -1132915.1536    6092529.8732    1504633.2314
   -1132915.1559    6092529.8769    1504633.2388
   -1132915.1522    6092529.8868    1504633.2454
   -1132915.1541    6092529.8845    1504633.2507
   -1132915.1577    6092529.8896    1504633.2469
   -1132915.1597    6092529.8951    1504633.2558
   -1132915.1691    6092529.8997    1504633.2581
   -1132915.1659    6092529.9102    1504633.2536
   -1132915.1650    6092529.8891    1504633.2481
   -1132915.1645    6092529.9013    1504633.2549
   -1132915.1650    6092529.8842    1504633.2566
   -1132915.1655    6092529.8833    1504633.2668
   -1132915.1568    6092529.8929    1504633.2699
   -1132915.1565    6092529.8838    1504633.2766
   -1132915.1498    6092529.8713    1504633.2749
   -1132915.1451    6092529.8709    1504633.2783
   -1132915.1507    6092529.8748    1504633.2844
   -1132915.1551    6092529.8847    1504633.2930
   -1132915.1501    6092529.8822    1504633.2945
   -1132915.1481    6092529.8736    1504633.3002
   -1132915.1554    6092529.8700    1504633.3032
   -1132915.1490    6092529.8730    1504633.3036
   -1132915.1497    6092529.8754    1504633.3077
   -1132915.1637    6092529.8920    1504633.3160
   -1132915.1562    6092529.8829    1504633.3142
   -1132915.1713    6092529.9423    1504633.2787
   -1132915.1615    6092529.8803    1504633.3124
   -1132915.1789    6092529.9164    1504633.2822
   -1132915.1915    6092529.9716    1504633.2437
   -1132915.1903    6092529.9684    1504633.2731
   -1132915.1755    6092529.9075    1504633.2921
   -1132915.1789    6092529.9369    1504633.2821
   -1132915.1769    6092529.8544    1504633.3262
   -1132915.1697    6092529.8301    1504633.3511
   -1132915.1740    6092529.8808    1504633.3304
   -1132915.1732    6092529.8505    1504633.3427
