       X(m)            Y(m)              Y(m)         
   -1132915.3608    6092530.5652    1504633.5135
   -1132915.3644    6092530.5777    1504633.5209
   -1132915.3647    6092530.5846    1504633.5384
   -1132915.3649    6092530.5951    1504633.5587
   -1132915.3652    6092530.5871    1504633.5568
   -1132915.3706    6092530.6066    1504633.5642
   -1132915.3731    6092530.5966    1504633.5596
   -1132915.3666    6092530.5904    1504633.5524
   -1132915.3647    6092530.5723    1504633.5563
   -1132915.3715    6092530.5814    1504633.5594
   -1132915.3718    6092530.5803    1504633.5534
   -1132915.3777    6092530.5767    1504633.5540
   -1132915.3731    6092530.5639    1504633.5587
   -1132915.3724    6092530.5264    1504633.5448
   -1132915.3698    6092530.5143    1504633.5372
   -1132915.3681    6092530.5035    1504633.5350
   -1132915.3671    6092530.5179    1504633.5433
   -1132915.3712    6092530.5120    1504633.5468
   -1132915.3720    6092530.5112    1504633.5416
   -1132915.3682    6092530.4951    1504633.5399
   -1132915.3701    6092530.4895    1504633.5358
   -1132915.3682    6092530.4839    1504633.5272
   -1132915.3674    6092530.4711    1504633.5222
   -1132915.3667    6092530.4763    1504633.5251
   -1132915.3728    6092530.4709    1504633.5287
   -1132915.3705    6092530.4745    1504633.5382
   -1132915.3708    6092530.4790    1504633.5424
   -1132915.3703    6092530.4683    1504633.5476
   -1132915.3664    6092530.4631    1504633.5486
   -1132915.3689    6092530.4767    1504633.5606
   -1132915.3730    6092530.4732    1504633.5613
   -1132915.3662    6092530.4510    1504633.5594
   -1132915.3646    6092530.4504    1504633.5611
   -1132915.3621    6092530.4357    1504633.5597
   -1132915.3684    6092530.4241    1504633.5596
   -1132915.3648    6092530.4143    1504633.5524
   -1132915.3590    6092530.3982    1504633.5487
   -1132915.3699    6092530.4099    1504633.5556
   -1132915.3671    6092530.4059    1504633.5565
   -1132915.3281    6092530.3237    1504633.4914
   -1132915.3488    6092530.3592    1504633.5388
   -1132915.3056    6092530.2467    1504633.4543
   -1132915.2368    6092530.1132    1504633.3446
   -1132915.2802    6092530.2020    1504633.4107
   -1132915.3234    6092530.2786    1504633.4771
   -1132915.2911    6092530.2195    1504633.4373
   -1132915.3629    6092530.3359    1504633.5552
   -1132915.3994    6092530.4074    1504633.6118
   -1132915.3600    6092530.3370    1504633.5451
   -1132915.3838    6092530.3816    1504633.5822
   -1132915.3463    6092530.3078    1504633.5236
   -1132915.3459    6092530.3090    1504633.5216
   -1132915.3384    6092530.2990    1504633.5156
   -1132915.3078    6092530.2336    1504633.4735
   -1132915.3273    6092530.2669    1504633.5081
   -1132915.3302    6092530.2544    1504633.4985
   -1132915.3414    6092530.2832    1504633.5198
   -1132915.3640    6092530.3071    1504633.5534
   -1132915.3472    6092530.2892    1504633.5376
   -1132915.3581    6092530.2879    1504633.5394
   -1132915.3539    6092530.2858    1504633.5308
   -1132915.3549    6092530.2694    1504633.5171
   -1132915.3584    6092530.2610    1504633.5104
   -1132915.3847    6092530.0826    1504633.5171
   -1132915.3904    6092530.0864    1504633.5103
   -1132915.3891    6092530.0798    1504633.5084
   -1132915.3835    6092530.0706    1504633.5046
   -1132915.2946    6092530.5967    1504633.4939
   -1132915.2690    6092530.8077    1504633.4943
   -1132915.2903    6092530.6544    1504633.4985
   -1132915.2885    6092530.5893    1504633.4873
   -1132915.3420    6092530.2720    1504633.4882
   -1132915.3589    6092530.1942    1504633.4952
   -1132915.3858    6092530.0565    1504633.5058
   -1132915.3860    6092530.0254    1504633.4938
   -1132915.3774    6092530.0922    1504633.4776
   -1132915.3822    6092530.0908    1504633.4905
   -1132915.3726    6092530.1276    1504633.4825
   -1132915.3833    6092530.0927    1504633.4821
   -1132915.3891    6092530.1140    1504633.4950
   -1132915.3979    6092530.1244    1504633.4944
   -1132915.3999    6092530.1149    1504633.4953
   -1132915.3978    6092530.1034    1504633.4917
   -1132915.4008    6092530.1055    1504633.4963
   -1132915.4002    6092530.1159    1504633.5049
   -1132915.3882    6092530.1040    1504633.4962
   -1132915.3965    6092530.0954    1504633.5006
   -1132915.3948    6092530.0923    1504633.4987
   -1132915.3987    6092530.0818    1504633.4936
   -1132915.4047    6092530.0833    1504633.5080
   -1132915.4114    6092530.0955    1504633.5114
   -1132915.4219    6092530.0998    1504633.5115
   -1132915.4260    6092530.1194    1504633.5080
   -1132915.4317    6092530.1172    1504633.5081
   -1132915.4452    6092530.1246    1504633.5140
   -1132915.4328    6092530.0885    1504633.5097
   -1132915.4347    6092530.0782    1504633.5038
   -1132915.4325    6092530.0851    1504633.5052
   -1132915.4253    6092530.0710    1504633.5048
   -1132915.4343    6092530.0489    1504633.4987
   -1132915.4349    6092530.0297    1504633.4945
   -1132915.4429    6092529.9778    1504633.4817
   -1132915.4487    6092529.9440    1504633.4814
   -1132915.4494    6092529.9302    1504633.4772
   -1132915.4583    6092529.9296    1504633.4807
   -1132915.4532    6092529.9069    1504633.4840
   -1132915.4624    6092529.8936    1504633.4837
   -1132915.4592    6092529.8688    1504633.4832
   -1132915.4554    6092529.8613    1504633.4766
   -1132915.4276    6092529.9943    1504633.4883
   -1132915.4088    6092530.5851    1504633.9301
   -1132915.3718    6092530.4833    1504633.8695
   -1132915.4334    6092530.6667    1504634.0021
   -1132915.3961    6092530.5687    1504633.9363
   -1132915.3988    6092530.5808    1504633.9395
   -1132915.3300    6092530.4258    1504633.8271
   -1132915.3253    6092530.4124    1504633.8259
   -1132915.3362    6092530.4188    1504633.8341
   -1132915.2999    6092530.3266    1504633.7750
   -1132915.2961    6092530.3216    1504633.7778
   -1132915.2796    6092530.2895    1504633.7564
   -1132915.2869    6092530.3064    1504633.7695
   -1132915.2722    6092530.2726    1504633.7565
   -1132915.2852    6092530.2902    1504633.7789
   -1132915.2773    6092530.2816    1504633.7687
   -1132915.2743    6092530.2691    1504633.7662
   -1132915.2607    6092530.2250    1504633.7434
   -1132915.2554    6092530.1934    1504633.7263
   -1132915.2521    6092530.2036    1504633.7366
   -1132915.2505    6092530.2031    1504633.7422
   -1132915.2519    6092530.2053    1504633.7416
   -1132915.2408    6092530.1609    1504633.7257
   -1132915.2270    6092530.1304    1504633.7045
   -1132915.2201    6092530.0954    1504633.6904
   -1132915.2120    6092530.0713    1504633.6835
   -1132915.2158    6092530.0671    1504633.6821
   -1132915.1991    6092530.0276    1504633.6568
   -1132915.1581    6092529.8994    1504633.5710
   -1132915.1482    6092529.8676    1504633.5552
   -1132914.5440    6092528.8214    1504633.5746
   -1132914.5617    6092528.8350    1504633.5634
   -1132914.5895    6092528.8724    1504633.5587
   -1132914.6000    6092528.8673    1504633.5526
   -1132914.6145    6092528.8839    1504633.5395
   -1132914.6303    6092528.9100    1504633.5340
   -1132914.6401    6092528.8978    1504633.5191
   -1132914.6532    6092528.9128    1504633.5059
   -1132914.6700    6092528.9327    1504633.4988
   -1132914.6862    6092528.9499    1504633.4875
   -1132914.6960    6092528.9572    1504633.4780
   -1132914.7154    6092528.9507    1504633.4537
   -1132914.7391    6092528.9751    1504633.4442
   -1132914.7481    6092528.9825    1504633.4199
   -1132914.7628    6092528.9751    1504633.3997
   -1132914.7676    6092528.9755    1504633.3859
   -1132914.8658    6092529.5659    1504633.7387
   -1132914.8802    6092529.5909    1504633.7375
   -1132914.8900    6092529.5955    1504633.7398
   -1132914.9048    6092529.6175    1504633.7430
   -1132914.9108    6092529.6142    1504633.7420
   -1132914.9121    6092529.5966    1504633.7359
   -1132914.9302    6092529.6399    1504633.7455
   -1132914.9397    6092529.6524    1504633.7526
   -1132914.9347    6092529.6560    1504633.7474
   -1132914.9386    6092529.6773    1504633.7496
   -1132914.9350    6092529.6757    1504633.7557
   -1132914.9327    6092529.6762    1504633.7501
   -1132914.9367    6092529.6699    1504633.7527
   -1132914.9314    6092529.6780    1504633.7557
   -1132914.9294    6092529.6840    1504633.7522
   -1132914.9271    6092529.6858    1504633.7627
   -1132914.9240    6092529.6961    1504633.7654
   -1132914.9216    6092529.6675    1504633.7624
   -1132914.9235    6092529.6824    1504633.7698
   -1132914.9213    6092529.6914    1504633.7686
   -1132914.9301    6092529.7211    1504633.7746
   -1132914.9349    6092529.7186    1504633.7719
   -1132914.9391    6092529.7193    1504633.7720
   -1132914.9367    6092529.7100    1504633.7757
   -1132914.9486    6092529.7402    1504633.7771
   -1132914.9589    6092529.7528    1504633.7816
   -1132914.9572    6092529.7565    1504633.7802
   -1132914.9523    6092529.7675    1504633.7789
   -1132914.9510    6092529.7584    1504633.7784
   -1132914.9624    6092529.7585    1504633.7780
   -1132914.9671    6092529.7668    1504633.7821
   -1132914.9698    6092529.7571    1504633.7883
   -1132914.9704    6092529.7572    1504633.7832
   -1132914.9693    6092529.7612    1504633.7857
